id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401752808,2025,1,regular,2025-08-30T23:30:00.000Z,False,True,False,False,,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,34,"[14, 10, 3, 7]",0.9898145198822021,1772,1771,167,New Mexico,fbs,Mountain West,17,"[0, 10, 7, 0]",0.010185480117797852,1331,1332,3.6631597398085893,,
401752690,2025,2,regular,2025-09-06T23:30:00.000Z,False,True,False,False,,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,24,"[7, 7, 7, 3]",0.8956694006919861,1650,1679,130,Michigan,fbs,Big Ten,13,"[0, 0, 13, 0]",0.10433059930801392,1771,1742,4.288925346237761,,
401752839,2025,3,regular,2025-09-13T16:00:00.000Z,False,True,False,False,,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,63,"[14, 21, 14, 14]",0.9919071197509766,1742,1852,2117,Central Michigan,fbs,Mid-American,3,"[0, 3, 0, 0]",0.008092880249023438,1204,1094,2.587065763775777,,
401752846,2025,4,regular,2025-09-20T19:30:00.000Z,False,True,False,True,,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,27,"[0, 17, 0, 10]",0.362228125333786,1699,1703,130,Michigan,fbs,Big Ten,30,"[10, 7, 10, 3]",0.637771874666214,1852,1848,6.364445124145732,,
401752856,2025,6,regular,2025-10-04T16:00:00.000Z,False,True,False,True,,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,24,"[7, 3, 7, 7]",0.9888097643852234,1848,1851,275,Wisconsin,fbs,Big Ten,10,"[7, 0, 0, 3]",0.011190235614776611,1543,1540,4.019750008330359,,
401752868,2025,7,regular,2025-10-11T23:30:00.000Z,False,True,False,True,,477,Los Angeles Memorial Coliseum,30,USC,fbs,Big Ten,31,"[7, 7, 7, 10]",0.980634868144989,1865,1904,130,Michigan,fbs,Big Ten,13,"[0, 7, 0, 6]",0.019365131855010986,1851,1812,3.745751821245596,,
401752873,2025,8,regular,2025-10-18T16:00:00.000Z,False,True,False,True,,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,24,"[7, 0, 7, 10]",0.9892430901527405,1812,1839,264,Washington,fbs,Big Ten,7,"[0, 7, 0, 0]",0.010756909847259521,1701,1674,4.80158827623924,,
401752881,2025,9,regular,2025-10-25T23:30:00.000Z,False,True,False,True,,3936,Spartan Stadium,127,Michigan State,fbs,Big Ten,20,"[0, 7, 0, 13]",0.22799912095069885,1348,1364,130,Michigan,fbs,Big Ten,31,"[10, 0, 14, 7]",0.7720008790493011,1839,1823,4.5247274470283,,
401752890,2025,10,regular,2025-11-01T23:00:00.000Z,False,True,False,True,,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,21,"[7, 7, 0, 7]",0.9230600595474243,1823,1809,2509,Purdue,fbs,Big Ten,16,"[0, 7, 3, 6]",0.07693994045257568,1296,1310,5.6554345034414455,,
401752905,2025,12,regular,2025-11-15T17:00:00.000Z,False,True,True,True,,4250,Wrigley Field,77,Northwestern,fbs,Big Ten,22,"[0, 6, 3, 13]",0.33105868101119995,1516,1526,130,Michigan,fbs,Big Ten,24,"[0, 7, 14, 3]",0.6689413189888,1809,1799,6.608091433028607,,
401752914,2025,13,regular,2025-11-22T21:00:00.000Z,False,True,False,True,,3665,SECU Stadium,120,Maryland,fbs,Big Ten,20,"[7, 3, 3, 7]",0.002435908652842045,1440,1414,130,Michigan,fbs,Big Ten,45,"[7, 14, 14, 10]",0.997564091347158,1799,1825,3.802841750717656,,
401752921,2025,14,regular,2025-11-29T17:00:00.000Z,False,True,False,True,,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,9,"[6, 3, 0, 0]",0.006825553253293037,1825,1814,194,Ohio State,fbs,Big Ten,27,"[3, 14, 7, 3]",0.993174446746707,2158,2169,3.9042299668833054,,
401778330,2025,1,postseason,2025-12-31T20:00:00.000Z,False,True,True,False,,4013,Camping World Stadium,251,Texas,fbs,SEC,41,"[3, 14, 7, 17]",0.9497055411338806,1898,1926,130,Michigan,fbs,Big Ten,27,"[10, 7, 3, 7]",0.050294458866119385,1814,1786,8.573219878663874,,Cheez-It Citrus Bowl
